Appln_Applicant_First
上海墙特节能材料有限公司
上海弼诺医疗器械有限公司
上海霖度网络科技有限公司
上海茂晟康慧科技有限公司
上海悠钲网络科技有限公司
上海麻几眼镜有限公司
上海慧银信息科技有限公司
上海中船重工船舶推进设备有限公司
上海华畅环保设备发展有限公司
上海衡拓船舶设备有限公司
上海暖捷环境科技有限公司
上海欧科微航天科技有限公司
上海中路实业有限公司
上海宣普实业有限公司
上海朴道水汇环保科技股份有限公司
上海宝钢设备检修有限公司
上海嘉里食品工业有限公司
上海海栎创科技股份有限公司
上海翎屿科技有限公司
上海艾融软件股份有限公司
上海美瑞实业有限公司
上海逸思医疗科技股份有限公司
上海华为技术有限公司
上海化学工业区升达废料处理有限公司
上海伯镭智能科技有限公司
上海英迈吉东影图像设备有限公司
上海希格玛高技术有限公司
上海复旦微电子集团股份有限公司
深圳市光鉴科技有限公司
上海五零盛同信息科技有限公司
上海市共进通信技术有限公司
上海期货信息技术有限公司
上海司羿智能科技有限公司
上海日舒科技纺织有限公司
上海宇耀生物科技有限公司
上海晨鸟信息科技有限公司
上海蓝光科技有限公司
上海绿强新材料有限公司
上海禾森机电有限公司
上海负熵医疗科技有限公司
上海航天科工电器研究院有限公司
上海网达软件股份有限公司
上海燃料电池汽车动力系统有限公司
深圳市泰衡诺科技有限公司上海分公司
上海中翊日化有限公司
上海汽车变速器有限公司
上海汉得信息技术股份有限公司
上海麦信生态环境科技有限公司
上海万力华生物科技有限公司
上海乐橘碳蚁科技有限公司
上海相宜本草化妆品股份有限公司
上海交大昂立股份有限公司
上海倬彼云汉航空科技有限公司
上海摩芯半导体技术有限公司
上海找钢网信息科技股份有限公司
上海一建安装工程有限公司
上海渊丰地下工程技术有限公司
上海申贝泵业制造有限公司
上海立科药物化学有限公司
上海永玺环境科技有限公司
上海智租物联科技有限公司
证通股份有限公司
上海普利特化工新材料有限公司
上海互海信息科技有限公司
上海联孚新能源科技集团有限公司
上海恒动汽车电池有限公司
上海建宝光纤技术有限公司
上海九和堂国药有限公司
上海羲禾科技有限公司
上海华谊工程有限公司
上海华鑫股份有限公司
上海云泽生物科技有限公司
上海力为流体设备有限公司
上海海能汽车电子有限公司
上海博协软件有限公司
上海申贝科技发展有限公司
上海斐讯数据通信技术有限公司
上海爱数信息技术股份有限公司
上海凯虹科技电子有限公司
国网上海能源互联网研究院有限公司
上海智东实业有限公司
上海骥思环保科技有限公司
上海维外科技有限公司
上海韬润半导体有限公司
上海拜豪生物科技有限公司
上海峰林生物科技有限公司
上海玖行能源科技有限公司
上海市松江区中心医院
上海有间建筑科技有限公司
上海芯跳科技有限公司
上海富驰高科技股份有限公司
上海宝存信息科技有限公司
上海尚聚化工科技有限公司
奥动新能源汽车科技有限公司
上海创博生态工程有限公司
上海派森诺医学检验所有限公司
上海臻格生物技术有限公司
上海电力通信有限公司
上海显耀显示科技有限公司
上海广为电器工具有限公司
上海天统电子科技有限公司
上海中药制药技术有限公司
上海尚珞生物医药科技有限公司
上海淇毓信息科技有限公司
上海新联金属新材料有限公司
上海思立微电子科技有限公司
上海上南复盘物流设备集团有限公司
上海泰砚通信技术有限公司
上海中化科技有限公司
上海科源电子科技有限公司
上海上电漕泾发电有限公司
上海宝利纳材料科技有限公司
上海京知信息科技有限公司
上海精闵仓储设备有限公司
上海银基信息安全技术股份有限公司
上海奥奇医药科技有限公司
上海分布信息科技有限公司
上海图丽信息技术有限公司
上海托华机器人有限公司
上海景同信息科技有限公司
上海启业信息技术有限公司
上海诺特飞博燃烧设备有限公司
格兰菲智能科技有限公司
上海豪胜化工科技有限公司
上海红象生物医药科技有限公司
中建三局集团有限公司
上海鸿晔电子科技股份有限公司
上海亮牛半导体科技有限公司
上海拍拍贷金融信息服务有限公司
上海艾棵颂生物科技有限公司
沪杭铁路客运专线股份有限公司
上海瑞宙生物科技有限公司
上海安清医疗器械有限公司
上海信羽电子科技有限公司
上海凯纳泽汽车有限公司
上海诺亚木木机器人科技有限公司
上海民航新时代机场设计研究院有限公司
上海申淇医疗科技有限公司
上海渠杰信息科技有限公司
上海新页石油科技有限公司
上海一影信息科技有限公司
上海宇芯科技有限公司
上海杏脉信息科技有限公司
上海思依暄机器人科技股份有限公司
上海智童教育科技有限公司
上海复旦复华药业有限公司
上海麦风微波设备有限公司
上海联影智能医疗科技有限公司
上海易杵行智能科技有限公司
国科量子通信网络有限公司
上海东软载波微电子有限公司
上海过滤器有限公司
上海老港废弃物处置有限公司
上海科胜药物研发有限公司
上海瓜呱科技有限公司
上海驰纺材料科技有限公司
上海嫦娥光学仪器科技有限公司
上海柚子激光科技有限公司
上海快数机械设备有限公司
上海普适导航科技股份有限公司
上海海悦涂料有限公司
上海贝塔建筑科技有限公司
上海柏中观澈智能科技有限公司
上海七牛信息技术有限公司
上海擎茂微电子科技有限公司
上海斐腾新材料科技有限公司
上海上讯信息技术股份有限公司
常州华通新立地板有限公司
上海灵动微电子股份有限公司
上海领检科技有限公司
上海林同炎李国豪土建工程咨询有限公司
上海陛通半导体能源科技股份有限公司
上海公泰纺织制品有限公司
上海盛韬半导体科技有限公司
上海普坤信息科技有限公司
上海普利特复合材料股份有限公司
上海智殷自动化科技有限公司
上海东方传媒集团有限公司
上海术理智能科技有限公司
上海瑞柯恩激光技术有限公司
上海瀚岱化学有限公司
上海风汇网络科技有限公司
上海优卡迪生物医药科技有限公司
上海索达传动机械有限公司
中建一局集团第一建筑有限公司
上海仙工智能科技有限公司
上海美星电子有限公司
中国银联股份有限公司
上海朕芯微电子科技有限公司
上海游昆信息技术有限公司
上海市园林设计研究总院有限公司
上海城投瀛洲生活垃圾处置有限公司
上海舜拓电机有限公司
上海纽特消防设备有限公司
上海原能细胞生物低温设备有限公司
上海耐特复合材料制品有限公司
上海大汉三通通信股份有限公司
智己汽车科技有限公司
上海航盛实业有限公司
上海粤江实业有限公司
上海金融期货信息技术有限公司
上海禾楷电气科技有限公司
上海南芯半导体科技股份有限公司
上海箩箕技术有限公司
龙元建设集团股份有限公司
上海润河纳米材料科技有限公司
中曼石油钻井技术有限公司
上海伟奕传动轴配件有限公司
上海新天策数字科技有限公司
上海纳为生物技术有限公司
上海瀚银信息技术有限公司
上海友道智途科技有限公司
上海爱谨人工智能科技有限公司
中铁大桥局上海工程有限公司
上海汉枫电子科技有限公司
上海先辉医药科技有限公司
上海卡呼那智能科技有限公司
中建港航局集团有限公司
上海爻火微电子有限公司
上海汉克威自动化科技有限公司
上海绿麟达新材料科技有限公司
上海恒嘉电气有限公司
上海信耀电子有限公司
上海晨兴希姆通电子科技有限公司
上海腾辉锻造有限公司
上海住总集团建设发展有限公司
上海聚友化工有限公司
中曼石油天然气集团股份有限公司
上海榕源环境科技有限公司
上海创宏生物科技有限公司
上海尚往网络科技有限公司
上海浩霖汇信息科技有限公司
上海科润光电技术有限公司
上海华力集成电路制造有限公司
上海图甲信息科技有限公司
上海趣虫科技有限公司
上海齐感电子信息科技有限公司
上海说道文化传播有限公司
上海锐朗光电材料有限公司
上海励驰半导体有限公司
东方国际创业股份有限公司
上海伽易信息技术有限公司
上海美微达医疗科技有限公司
上海宏功机械科技有限公司
上海理日化工新材料有限公司
上海美馥云计算科技有限公司
上海戎磐网络科技有限公司
未势能源科技有限公司
上海通群科技有限公司
上海京辰消防工程有限公司
上海瑞尔实业有限公司
上海力信能源科技有限责任公司
上海稳得新能源科技有限公司
上海杰宁新能源科技发展有限公司
上海海和药物研究开发股份有限公司
上海捷瑞生物工程有限公司
上海舜华新能源系统有限公司
上海深海宏添建材有限公司
上海集爱遗传与不育诊疗中心
上海杰达齿科制作有限公司
上海迪升防腐新材料科技有限公司
上海摩波彼克半导体有限公司
上海瑞麒维网络科技有限公司
上海汇真生物科技有限公司
上海御渡半导体科技有限公司
上海硅苑膜科技有限公司
上海环保工程成套有限公司
上海迪赛诺化学制药有限公司
上海创历制冷设备有限公司
上海傲睿科技有限公司
上海久点触控计算机系统股份有限公司
上海御微半导体技术有限公司
上海明捷医药科技有限公司
上海天荷电子信息有限公司
上海航兢电子科技有限公司
上海透景生命科技股份有限公司
上海同星智能科技有限公司
上海慧程工程技术服务有限公司
上海联友制药技术有限公司
上海堃捷信息科技有限公司
上海良信电器股份有限公司
上海复培新材料科技有限公司
上海怿星电子科技有限公司
上海技涵电子科技有限公司
上海元一电子有限公司
上海越安建筑安装工程有限公司
上海联彤网络通讯技术有限公司
上海柘电电器有限公司
上海欧缘科技有限公司
上海市数字证书认证中心有限公司
上海海优威新材料股份有限公司
沪东重机有限公司
上海凯鸿环保工程有限公司
上海华瑞气雾剂有限公司
上海麦汇信息科技有限公司
上海华依科技集团股份有限公司
上海海岸展览服务有限公司
上海济平新能源科技有限公司
上海朝辉压力仪器有限公司
上海瑞亚安环保设备有限公司
上海七桥机器人有限公司
上海恩井汽车科技有限公司
上海聚星仪器有限公司
上海申菱电梯配件有限公司
上海威克鲍尔通信科技有限公司
上海英联电子系统有限公司
上海途特机电制造有限公司
上海广拓信息技术有限公司
上海米素环保科技有限公司
上海易托邦建筑科技有限公司
大山合集团有限公司
上海金山锦湖日丽塑料有限公司
上海兄弟微电子技术有限公司
上海绿帝环保科技有限公司
上海驰程化工工贸有限公司
上海晨驭信息科技有限公司
上海春尚电子科技有限公司
上海集成电路研发中心有限公司
上海无忧物流有限公司
上海品宅装饰科技有限公司
上海泽润生物科技有限公司
上海泰普星坦新材料有限公司
上海安其威微电子科技有限公司
上海乐欢软件有限公司
上海迦美信芯通讯技术有限公司
上海金匙环保科技股份有限公司
上海万泽精密铸造有限公司
上海途擎微电子有限公司
上海洋源建设发展有限公司
上海美吉生物医药科技有限公司
上海新益特种电缆有限公司
上海昕健医疗技术有限公司
宁波森浦融讯科技有限公司
上海言诺建筑材料有限公司
上海信传信息技术有限公司
上海久鼎绿化混凝土有限公司
上海世道健康科技有限公司
